id,authors,title,references,category,abstract,year,source
704.0021,"Vanessa Casagrande, Yuichi Togashi, Alexander S. Mikhailov","Molecular Synchronization Waves in Arrays of Allosterically Regulated
  Enzymes","Phys. Rev. Lett. 99, 048301 (2007)",nlin.PS physics.chem-ph q-bio.MN,"  Spatiotemporal pattern formation in a product-activated enzymic reaction at
high enzyme concentrations is investigated. Stochastic simulations show that
catalytic turnover cycles of individual enzymes can become coherent and that
complex wave patterns of molecular synchronization can develop. The analysis
based on the mean-field approximation indicates that the observed patterns
result from the presence of Hopf and wave bifurcations in the considered
system.
",2007,arxiv
704.0023,"M. A. Loukitcheva, S. K. Solanki and S. White",ALMA as the ideal probe of the solar chromosphere,"Astrophys.Space Sci.313:197-200,2008",astro-ph,"  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric observations at millimeter
wavelengths to resolve this long-standing problem. Computations carried out
with a sophisticated dynamic model of the solar chromosphere due to Carlsson
and Stein demonstrate that millimeter emission is extremely sensitive to
dynamic processes in the chromosphere and the appropriate wavelengths to look
for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests
that high resolution observations at mm wavelengths, as will be provided by
ALMA, will have the unique property of reacting to both the hot and the cool
gas, and thus will have the potential of distinguishing between rival models of
the solar atmosphere. Thus, initial results obtained from the observations of
the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal
significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8
mHz with a tendency toward short-period oscillations in internetwork and longer
periods in network regions. However higher spatial resolution, such as that
provided by ALMA, is required for a clean separation between the features
within the solar atmosphere and for an adequate comparison with the output of
the comprehensive dynamic simulations.
",2009,arxiv
704.0027,"M. O. Goerbig, J.-N. Fuchs, K. Kechedzhi, Vladimir I. Fal'ko",Filling-Factor-Dependent Magnetophonon Resonance in Graphene,"Phys. Rev. Lett. 99, 087402 (2007)",cond-mat.mes-hall,"  We describe a peculiar fine structure acquired by the in-plane optical phonon
at the Gamma-point in graphene when it is brought into resonance with one of
the inter-Landau-level transitions in this material. The effect is most
pronounced when this lattice mode (associated with the G-band in graphene Raman
spectrum) is in resonance with inter-Landau-level transitions 0 -> (+,1) and
(-,1) -> 0, at a magnetic field B_0 ~ 30 T. It can be used to measure the
strength of the electron-phonon coupling directly, and its filling-factor
dependence can be used experimentally to detect circularly polarized lattice
modes.
",2009,arxiv
704.0028,P\'eter E. Frenkel,"Pfaffians, hafnians and products of real linear functionals","Math. Res. Lett. 15 (2008), no. 2, 351--358",math.CA math.PR,"  We prove pfaffian and hafnian versions of Lieb's inequalities on determinants
and permanents of positive semi-definite matrices. We use the hafnian
inequality to improve the lower bound of R\'ev\'esz and Sarantopoulos on the
norm of a product of linear functionals on a real Euclidean space (this subject
is sometimes called the `real linear polarization constant' problem).
",2014,arxiv
704.0029,"Zhan Shu, Xiao-Lin Chen and Wei-Zhen Deng","Understanding the Flavor Symmetry Breaking and Nucleon Flavor-Spin
  Structure within Chiral Quark Model","Phys.Rev.D75:094018,2007",hep-ph,"  In $\XQM$, a quark can emit Goldstone bosons. The flavor symmetry breaking in
the Goldstone boson emission process is used to intepret the nucleon
flavor-spin structure. In this paper, we study the inner structure of
constituent quarks implied in $\XQM$ caused by the Goldstone boson emission
process in nucleon. From a simplified model Hamiltonian derived from $\XQM$,
the intrinsic wave functions of constituent quarks are determined. Then the
obtained transition probabilities of the emission of Goldstone boson from a
quark can give a reasonable interpretation to the flavor symmetry breaking in
nucleon flavor-spin structure.
",2010,arxiv
704.003,J.P.Hague and N.d'Ambrumenil,Tuning correlation effects with electron-phonon interactions,J. Low. Temp. Phys. Vol. 140 pp77-89 (2005),cond-mat.str-el,"  We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron-phonon driven correlations
and static distortions compete on similar energy scales, we find several
interesting results including (1) A crossover from band to Mott behavior in the
spectral function, leading to hybrid band/Mott features in the spectral
function for phonon frequencies slightly larger than the band width. (2) Since
the optical conductivity depends sensitively on the form of the spectral
function, we show that such a regime should be observable through the low
frequency form of the optical conductivity. (3) The resistivity has a double
kondo peak arrangement
",2015,arxiv
704.0031,"V. M. Biryukov (Serpukhov, IHEP)","Crystal channeling of LHC forward protons with preserved distribution in
  phase space","Phys.Lett.B658:7-12,2007",hep-ph,"  We show that crystal can trap a broad (x, x', y, y', E) distribution of
particles and channel it preserved with a high precision. This sampled-and-hold
distribution can be steered by a bent crystal for analysis downstream. In
simulations for the 7 TeV Large Hadron Collider, a crystal adapted to the
accelerator lattice traps 90% of diffractively scattered protons emerging from
the interaction point with a divergence 100 times the critical angle. We set
the criterion for crystal adaptation improving efficiency ~100-fold. Proton
angles are preserved in crystal transmission with accuracy down to 0.1
microrad. This makes feasible a crystal application for measuring very forward
protons at the LHC.
",2008,arxiv
704.0032,"A. Esteban-Pretel, R. Tom\`as and J. W. F. Valle",Probing non-standard neutrino interactions with supernova neutrinos,"Phys.Rev.D76:053001,2007",hep-ph,"  We analyze the possibility of probing non-standard neutrino interactions
(NSI, for short) through the detection of neutrinos produced in a future
galactic supernova (SN).We consider the effect of NSI on the neutrino
propagation through the SN envelope within a three-neutrino framework, paying
special attention to the inclusion of NSI-induced resonant conversions, which
may take place in the most deleptonised inner layers. We study the possibility
of detecting NSI effects in a Megaton water Cherenkov detector, either through
modulation effects in the $\bar\nu_e$ spectrum due to (i) the passage of shock
waves through the SN envelope, (ii) the time dependence of the electron
fraction and (iii) the Earth matter effects; or, finally, through the possible
detectability of the neutronization $\nu_e$ burst. We find that the $\bar\nu_e$
spectrum can exhibit dramatic features due to the internal NSI-induced resonant
conversion. This occurs for non-universal NSI strengths of a few %, and for
very small flavor-changing NSI above a few$\times 10^{-5}$.
",2008,arxiv
704.0033,"Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra","Convergence of the discrete dipole approximation. I. Theoretical
  analysis","J.Opt.Soc.Am.A 23, 2578-2591 (2006); Erratum: J.Opt.Soc.Am.A 32,
  2407-2408 (2015)",physics.optics physics.comp-ph,"  We performed a rigorous theoretical convergence analysis of the discrete
dipole approximation (DDA). We prove that errors in any measured quantity are
bounded by a sum of a linear and quadratic term in the size of a dipole d, when
the latter is in the range of DDA applicability. Moreover, the linear term is
significantly smaller for cubically than for non-cubically shaped scatterers.
Therefore, for small d errors for cubically shaped particles are much smaller
than for non-cubically shaped. The relative importance of the linear term
decreases with increasing size, hence convergence of DDA for large enough
scatterers is quadratic in the common range of d. Extensive numerical
simulations were carried out for a wide range of d. Finally we discuss a number
of new developments in DDA and their consequences for convergence.
",2022,arxiv
704.0035,"Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra","Convergence of the discrete dipole approximation. II. An extrapolation
  technique to increase the accuracy",J.Opt.Soc.Am.A 23(10): 2592-2601 (2006),physics.optics physics.comp-ph,"  We propose an extrapolation technique that allows accuracy improvement of the
discrete dipole approximation computations. The performance of this technique
was studied empirically based on extensive simulations for 5 test cases using
many different discretizations. The quality of the extrapolation improves with
refining discretization reaching extraordinary performance especially for
cubically shaped particles. A two order of magnitude decrease of error was
demonstrated. We also propose estimates of the extrapolation error, which were
proven to be reliable. Finally we propose a simple method to directly separate
shape and discretization errors and illustrated this for one test case.
",2008,arxiv
704.0037,"Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra","The discrete dipole approximation for simulation of light scattering by
  particles much larger than the wavelength","J.Quant.Spectrosc.Radiat.Transf. 106, 546-557 (2007)",physics.optics physics.comp-ph,"  In this manuscript we investigate the capabilities of the Discrete Dipole
Approximation (DDA) to simulate scattering from particles that are much larger
than the wavelength of the incident light, and describe an optimized publicly
available DDA computer program that processes the large number of dipoles
required for such simulations. Numerical simulations of light scattering by
spheres with size parameters x up to 160 and 40 for refractive index m=1.05 and
2 respectively are presented and compared with exact results of the Mie theory.
Errors of both integral and angle-resolved scattering quantities generally
increase with m and show no systematic dependence on x. Computational times
increase steeply with both x and m, reaching values of more than 2 weeks on a
cluster of 64 processors. The main distinctive feature of the computer program
is the ability to parallelize a single DDA simulation over a cluster of
computers, which allows it to simulate light scattering by very large
particles, like the ones that are considered in this manuscript. Current
limitations and possible ways for improvement are discussed.
",2007,arxiv
704.0038,"Maxim A. Yurkin, Alfons G. Hoekstra",The discrete dipole approximation: an overview and recent developments,"J.Quant.Spectrosc.Radiat.Transf. 106, 558-589 (2007); Erratum:
  J.Quant.Spectrosc.Radiat.Transf. 171, 82-83 (2016)",physics.optics physics.comp-ph,"  We present a review of the discrete dipole approximation (DDA), which is a
general method to simulate light scattering by arbitrarily shaped particles. We
put the method in historical context and discuss recent developments, taking
the viewpoint of a general framework based on the integral equations for the
electric field. We review both the theory of the DDA and its numerical aspects,
the latter being of critical importance for any practical application of the
method. Finally, the position of the DDA among other methods of light
scattering simulation is shown and possible future developments are discussed.
",2022,arxiv
704.0039,Jose A. Oller and Luis Roca,Scalar radius of the pion and zeros in the form factor,"Phys.Lett.B651:139-146,2007",hep-ph hep-lat nucl-th,"  The quadratic pion scalar radius, \la r^2\ra^\pi_s, plays an important role
for present precise determinations of \pi\pi scattering. Recently, Yndur\'ain,
using an Omn\`es representation of the null isospin(I) non-strange pion scalar
form factor, obtains \la r^2\ra^\pi_s=0.75\pm 0.07 fm^2. This value is larger
than the one calculated by solving the corresponding Muskhelishvili-Omn\`es
equations, \la r^2\ra^\pi_s=0.61\pm 0.04 fm^2. A large discrepancy between both
values, given the precision, then results. We reanalyze Yndur\'ain's method and
show that by imposing continuity of the resulting pion scalar form factor under
tiny changes in the input \pi\pi phase shifts, a zero in the form factor for
some S-wave I=0 T-matrices is then required. Once this is accounted for, the
resulting value is \la r^2\ra_s^\pi=0.65\pm 0.05 fm^2. The main source of error
in our determination is present experimental uncertainties in low energy S-wave
I=0 \pi\pi phase shifts. Another important contribution to our error is the not
yet settled asymptotic behaviour of the phase of the scalar form factor from
QCD.
",2008,arxiv
704.0043,"R.A. Brownlee, A.N. Gorban, J. Levesley",Nonequilibrium entropy limiters in lattice Boltzmann methods,"Physica A, V. 387, Issues 2-3 (2008), Pages 385-406",cond-mat.stat-mech cond-mat.mtrl-sci,"  We construct a system of nonequilibrium entropy limiters for the lattice
Boltzmann methods (LBM). These limiters erase spurious oscillations without
blurring of shocks, and do not affect smooth solutions. In general, they do the
same work for LBM as flux limiters do for finite differences, finite volumes
and finite elements methods, but for LBM the main idea behind the construction
of nonequilibrium entropy limiter schemes is to transform a field of a scalar
quantity - nonequilibrium entropy. There are two families of limiters: (i)
based on restriction of nonequilibrium entropy (entropy ""trimming"") and (ii)
based on filtering of nonequilibrium entropy (entropy filtering). The physical
properties of LBM provide some additional benefits: the control of entropy
production and accurate estimate of introduced artificial dissipation are
possible. The constructed limiters are tested on classical numerical examples:
1D athermal shock tubes with an initial density ratio 1:2 and the 2D lid-driven
cavity for Reynolds numbers Re between 2000 and 7500 on a coarse 100*100 grid.
All limiter constructions are applicable for both entropic and non-entropic
quasiequilibria.
",2007,arxiv
704.0044,"A. A. Schekochihin (Oxford), S. C. Cowley (Culham), W. Dorland
  (Maryland), G. W. Hammett (Princeton), G. G. Howes (Iowa), E. Quataert
  (Berkeley), T. Tatsuno (Maryland)","Astrophysical gyrokinetics: kinetic and fluid turbulent cascades in
  magnetized weakly collisional plasmas","ApJS 182, 310 (2009)",astro-ph nlin.CD physics.plasm-ph physics.space-ph,"  We present a theoretical framework for plasma turbulence in astrophysical
plasmas (solar wind, interstellar medium, galaxy clusters, accretion disks).
The key assumptions are that the turbulence is anisotropic with respect to the
mean magnetic field and frequencies are low compared to the ion cyclotron
frequency. The energy injected at the outer scale scale has to be converted
into heat, which ultimately cannot be done without collisions. A KINETIC
CASCADE develops that brings the energy to collisional scales both in space and
velocity. Its nature depends on the physics of plasma fluctuations. In each of
the physically distinct scale ranges, the kinetic problem is systematically
reduced to a more tractable set of equations. In the ""inertial range"" above the
ion gyroscale, the kinetic cascade splits into a cascade of Alfvenic
fluctuations, which are governed by the RMHD equations at both the collisional
and collisionless scales, and a passive cascade of compressive fluctuations,
which obey a linear kinetic equation along the moving field lines associated
with the Alfvenic component. In the ""dissipation range"" between the ion and
electron gyroscales, there are again two cascades: the kinetic-Alfven-wave
(KAW) cascade governed by two fluid-like Electron RMHD equations and a passive
phase-space cascade of ion entropy fluctuations. The latter cascade brings the
energy of the inertial-range fluctuations that was damped by collisionless
wave-particle interaction at the ion gyroscale to collisional scales in the
phase space and leads to ion heating. The KAW energy is similarly damped at the
electron gyroscale and converted into electron heat. Kolmogorov-style scaling
relations are derived for these cascades. Astrophysical and space-physical
applications are discussed in detail.
",2015,arxiv
704.0045,"G.A. El, R.H.J. Grimshaw, A.M. Kamchatnov","Evolution of solitary waves and undular bores in shallow-water flows
  over a gradual slope with bottom friction","J. Fluid Mech. 585, 213-244 (2007)",nlin.PS nlin.SI,"  This paper considers the propagation of shallow-water solitary and nonlinear
periodic waves over a gradual slope with bottom friction in the framework of a
variable-coefficient Korteweg-de Vries equation. We use the Whitham averaging
method, using a recent development of this theory for perturbed integrable
equations. This general approach enables us not only to improve known results
on the adiabatic evolution of isolated solitary waves and periodic wave trains
in the presence of variable topography and bottom friction, modeled by the
Chezy law, but also importantly, to study the effects of these factors on the
propagation of undular bores, which are essentially unsteady in the system
under consideration. In particular, it is shown that the combined action of
variable topography and bottom friction generally imposes certain global
restrictions on the undular bore propagation so that the evolution of the
leading solitary wave can be substantially different from that of an isolated
solitary wave with the same initial amplitude. This non-local effect is due to
nonlinear wave interactions within the undular bore and can lead to an
additional solitary wave amplitude growth, which cannot be predicted in the
framework of the traditional adiabatic approach to the propagation of solitary
waves in slowly varying media.
",2007,arxiv
704.0046,"I. Csiszar, F. Hiai and D. Petz",A limit relation for entropy and channel capacity per unit cost,"J. Math. Phys. 48(2007), 092102.",quant-ph cs.IT math.IT,"  In a quantum mechanical model, Diosi, Feldmann and Kosloff arrived at a
conjecture stating that the limit of the entropy of certain mixtures is the
relative entropy as system size goes to infinity. The conjecture is proven in
this paper for density matrices. The first proof is analytic and uses the
quantum law of large numbers. The second one clarifies the relation to channel
capacity per unit cost for classical-quantum channels. Both proofs lead to
generalization of the conjecture.
",2009,arxiv
704.0048,"Alexander Stroeer, John Veitch, Christian Roever, Ed Bloomer, James
  Clark, Nelson Christensen, Martin Hendry, Chris Messenger, Renate Meyer,
  Matthew Pitkin, Jennifer Toher, Richard Umstaetter, Alberto Vecchio and
  Graham Woan","Inference on white dwarf binary systems using the first round Mock LISA
  Data Challenges data sets","Class.Quant.Grav.24:S541-S550,2007",gr-qc astro-ph,"  We report on the analysis of selected single source data sets from the first
round of the Mock LISA Data Challenges (MLDC) for white dwarf binaries. We
implemented an end-to-end pipeline consisting of a grid-based coherent
pre-processing unit for signal detection, and an automatic Markov Chain Monte
Carlo post-processing unit for signal evaluation. We demonstrate that signal
detection with our coherent approach is secure and accurate, and is increased
in accuracy and supplemented with additional information on the signal
parameters by our Markov Chain Monte Carlo approach. We also demonstrate that
the Markov Chain Monte Carlo routine is additionally able to determine
accurately the noise level in the frequency window of interest.
",2008,arxiv
704.0053,"Nabil L. Youssef, S. H. Abed and A. Soleiman",A Global Approach to the Theory of Special Finsler Manifolds,"J. Math. Kyoto Univ., 48 (2008), 857-893.",math.DG gr-qc,"  The aim of the present paper is to provide a global presentation of the
theory of special Finsler manifolds. We introduce and investigate globally (or
intrinsically, free from local coordinates) many of the most important and most
commonly used special Finsler manifolds: locally Minkowskian, Berwald,
Landesberg, general Landesberg, $P$-reducible, $C$-reducible,
semi-$C$-reducible, quasi-$C$-reducible, $P^{*}$-Finsler, $C^{h}$-recurrent,
$C^{v}$-recurrent, $C^{0}$-recurrent, $S^{v}$-recurrent, $S^{v}$-recurrent of
the second order, $C_{2}$-like, $S_{3}$-like, $S_{4}$-like, $P_{2}$-like,
$R_{3}$-like, $P$-symmetric, $h$-isotropic, of scalar curvature, of constant
curvature, of $p$-scalar curvature, of $s$-$ps$-curvature. The global
definitions of these special Finsler manifolds are introduced. Various
relationships between the different types of the considered special Finsler
manifolds are found. Many local results, known in the literature, are proved
globally and several new results are obtained. As a by-product, interesting
identities and properties concerning the torsion tensor fields and the
curvature tensor fields are deduced. Although our investigation is entirely
global, we provide; for comparison reasons, an appendix presenting a local
counterpart of our global approach and the local definitions of the special
Finsler spaces considered.
",2009,arxiv
704.0054,Wael Abu-Shammala and Alberto Torchinsky,"The Hardy-Lorentz Spaces $H^{p,q}(R^n)$","Studia Math. 182 (2007) no. 3, 283-294",math.CA math.FA,"  In this paper we consider the Hardy-Lorentz spaces $H^{p,q}(R^n)$, with
$0<p\le 1$, $0<q\le \infty$. We discuss the atomic decomposition of the
elements in these spaces, their interpolation properties, and the behavior of
singular integrals and other operators acting on them.
",2013,arxiv
704.0056,Santi Prestipino and Franz Saija,Phase diagram of Gaussian-core nematics,"J. Chem. Phys. 126, 194902 (2007)",cond-mat.soft cond-mat.mtrl-sci,"  We study a simple model of a nematic liquid crystal made of parallel
ellipsoidal particles interacting via a repulsive Gaussian law. After
identifying the relevant solid phases of the system through a careful
zero-temperature scrutiny of as many as eleven candidate crystal structures, we
determine the melting temperature for various pressure values, also with the
help of exact free energy calculations. Among the prominent features of this
model are pressure-driven reentrant melting and the stabilization of a columnar
phase for intermediate temperatures.
",2009,arxiv
704.0057,Philipp Werner and Andrew J. Millis,"High-spin to low-spin and orbital polarization transitions in
  multiorbital Mott systems","Phys. Rev. Lett. 99, 126405 (2007)",cond-mat.str-el,"  We study the interplay of crystal field splitting and Hund coupling in a
two-orbital model which captures the essential physics of systems with two
electrons or holes in the e_g shell. We use single site dynamical mean field
theory with a recently developed impurity solver which is able to access strong
couplings and low temperatures. The fillings of the orbitals and the location
of phase boundaries are computed as a function of Coulomb repulsion, exchange
coupling and crystal field splitting. We find that the Hund coupling can drive
the system into a novel Mott insulating phase with vanishing orbital
susceptibility. Away from half-filling, the crystal field splitting can induce
an orbital selective Mott state.
",2009,arxiv
704.0058,Frank J. Tipler,Intelligent Life in Cosmology,International Journal of Astrobiology 2 (2003) 141-148,physics.pop-ph,"  I shall present three arguments for the proposition that intelligent life is
very rare in the universe. First, I shall summarize the consensus opinion of
the founders of the Modern Synthesis (Simpson, Dobzhanski, and Mayr) that the
evolution of intelligent life is exceedingly improbable. Second, I shall
develop the Fermi Paradox: if they existed they'd be here. Third, I shall show
that if intelligent life were too common, it would use up all available
resources and die out. But I shall show that the quantum mechanical principle
of unitarity (actually a form of teleology!) requires intelligent life to
survive to the end of time. Finally, I shall argue that, if the universe is
indeed accelerating, then survival to the end of time requires that intelligent
life, though rare, to have evolved several times in the visible universe. I
shall argue that the acceleration is a consequence of the excess of matter over
antimatter in the universe. I shall suggest experiments to test these claims.
",2015,arxiv
